order,config_id,model,abt_buy_mean,abt_buy_std,abt_buy_n,amazon_google_mean,amazon_google_std,amazon_google_n,walmart_amazon_mean,walmart_amazon_std,walmart_amazon_n,wdc_80_medium_seen_mean,wdc_80_medium_seen_std,wdc_80_medium_seen_n,wdc_80_medium_unseen_mean,wdc_80_medium_unseen_std,wdc_80_medium_unseen_n,link_lives_release2_mean,link_lives_release2_std,link_lives_release2_n
38,hef_e5_official_ditto,HEF-GBDT + E5 + Official Ditto,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
39,hef_e5_official_ditto_mixda,HEF-GBDT + E5 + Official Ditto + MixDA,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
40,joint_neural_bert,Joint neural HEF + BERT (fine-tuned),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
41,joint_neural_bge,Joint neural HEF + BGE (fine-tuned),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
42,joint_neural_e5,Joint neural HEF + E5 (fine-tuned),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
43,joint_neural_gte,Joint neural HEF + GTE (fine-tuned),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
44,joint_neural_jina,Joint neural HEF + Jina (fine-tuned),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
45,joint_neural_minilm,Joint neural HEF + MiniLM (fine-tuned),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
46,joint_neural_roberta,Joint neural HEF + RoBERTa (fine-tuned),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
47,hef_e5_tuned_jina,HEF-GBDT + E5 + fine-tuned Jina (OOF),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
