order,config_id,model,family,dataset,task,metric,n_runs,mean,std,min,max
2,embedding_e5,E5,frozen_embedding,link_lives_release2,ranking,mrr_at_100,1,0.7540832838605647,,0.7540832838605647,0.7540832838605647
2,embedding_e5,E5,frozen_embedding,link_lives_release2,ranking,ndcg_at_100,1,0.8092847357255727,,0.8092847357255727,0.8092847357255727
2,embedding_e5,E5,frozen_embedding,walmart_amazon,classification,f1,1,0.490272373540856,,0.490272373540856,0.490272373540856
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,hits_at_1,1,0.8702290076335878,,0.8702290076335878,0.8702290076335878
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,hits_at_100,1,1.0,,1.0,1.0
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,mrr_at_100,1,0.9210650672482734,,0.9210650672482734,0.9210650672482734
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,ndcg_at_100,1,0.9362109243072744,,0.9362109243072744,0.9362109243072744
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,classification,f1,1,0.3564453125,,0.3564453125,0.3564453125
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_1,1,0.3286573146292585,,0.3286573146292585,0.3286573146292585
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100,1,1.0,,1.0,1.0
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100_end_to_end,1,0.998,,0.998,0.998
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,mrr_at_100,1,0.503337108315655,,0.503337108315655,0.503337108315655
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,ndcg_at_100,1,0.6178133993907914,,0.6178133993907914,0.6178133993907914
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,classification,f1,1,0.39572192513368987,,0.39572192513368987,0.39572192513368987
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_1,1,0.43172690763052207,,0.43172690763052207,0.43172690763052207
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100,1,1.0,,1.0,1.0
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100_end_to_end,1,0.996,,0.996,0.996
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,mrr_at_100,1,0.5962304529889048,,0.5962304529889048,0.5962304529889048
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,ndcg_at_100,1,0.6912090666315005,,0.6912090666315005,0.6912090666315005
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,classification,f1,1,0.33482810164424515,,0.33482810164424515,0.33482810164424515
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,hits_at_1,1,0.6233766233766234,,0.6233766233766234,0.6233766233766234
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,hits_at_100,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,mrr_at_100,1,0.7442876387681582,,0.7442876387681582,0.7442876387681582
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,ndcg_at_100,1,0.8055686100063212,,0.8055686100063212,0.8055686100063212
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,classification,f1,1,0.422360248447205,,0.422360248447205,0.422360248447205
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,hits_at_1,1,0.7654320987654321,,0.7654320987654321,0.7654320987654321
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,hits_at_100,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,hits_at_100_end_to_end,1,0.9938650306748467,,0.9938650306748467,0.9938650306748467
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,mrr_at_100,1,0.8498053148616754,,0.8498053148616754,0.8498053148616754
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,ndcg_at_100,1,0.8816386941208715,,0.8816386941208715,0.8816386941208715
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,classification,f1,1,0.6106623586429726,,0.6106623586429726,0.6106623586429726
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,hits_at_1,1,0.5386542591267001,,0.5386542591267001,0.5386542591267001
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,hits_at_100,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,hits_at_100_end_to_end,1,0.8596923076923076,,0.8596923076923076,0.8596923076923076
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,mrr_at_100,1,0.6386966117751812,,0.6386966117751812,0.6386966117751812
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,ndcg_at_100,1,0.7147321721341927,,0.7147321721341927,0.7147321721341927
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,classification,f1,1,0.37393767705382436,,0.37393767705382436,0.37393767705382436
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,hits_at_1,1,0.7022900763358778,,0.7022900763358778,0.7022900763358778
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,hits_at_100,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,mrr_at_100,1,0.8009086121681542,,0.8009086121681542,0.8009086121681542
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,ndcg_at_100,1,0.8455267624729792,,0.8455267624729792,0.8455267624729792
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,classification,f1,1,0.3089788732394366,,0.3089788732394366,0.3089788732394366
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_1,1,0.24032586558044808,,0.24032586558044808,0.24032586558044808
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100_end_to_end,1,0.982,,0.982,0.982
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,mrr_at_100,1,0.4062051906859387,,0.4062051906859387,0.4062051906859387
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,ndcg_at_100,1,0.537046585300638,,0.537046585300638,0.537046585300638
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,classification,f1,1,0.34499753573188763,,0.34499753573188763,0.34499753573188763
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_1,1,0.3634453781512605,,0.3634453781512605,0.3634453781512605
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100,1,1.0,,1.0,1.0
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100_end_to_end,1,0.952,,0.952,0.952
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,mrr_at_100,1,0.5210359810575946,,0.5210359810575946,0.5210359810575946
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,ndcg_at_100,1,0.6290420092758576,,0.6290420092758576,0.6290420092758576
4,embedding_bge,BGE,frozen_embedding,abt_buy,classification,f1,1,0.4963855421686747,,0.4963855421686747,0.4963855421686747
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,hits_at_1,1,0.8181818181818182,,0.8181818181818182,0.8181818181818182
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,hits_at_100,1,1.0,,1.0,1.0
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
