order,config_id,model,abt_buy_mean,abt_buy_std,abt_buy_n,amazon_google_mean,amazon_google_std,amazon_google_n,walmart_amazon_mean,walmart_amazon_std,walmart_amazon_n,wdc_80_medium_seen_mean,wdc_80_medium_seen_std,wdc_80_medium_seen_n,wdc_80_medium_unseen_mean,wdc_80_medium_unseen_std,wdc_80_medium_unseen_n,link_lives_release2_mean,link_lives_release2_std,link_lives_release2_n
1,rules,Rules,0.4013840830449827,,1,0.5221843003412969,,1,0.569060773480663,,1,0.28728179551122196,,1,0.3424015009380863,,1,0.5633139808567393,,1
2,embedding_e5,E5,0.5023696682464455,,1,0.5214007782101168,,1,0.490272373540856,,1,0.3564453125,,1,0.39572192513368987,,1,0.7052598817304699,,1
3,embedding_minilm,MiniLM,0.33482810164424515,,1,0.422360248447205,,1,0.37393767705382436,,1,0.3089788732394366,,1,0.34499753573188763,,1,0.6106623586429726,,1
4,embedding_bge,BGE,0.4963855421686747,,1,0.5078740157480315,,1,0.4663677130044843,,1,0.35673076923076924,,1,0.4070138150903294,,1,0.6691094471881472,,1
5,embedding_gte,GTE,0.5,,1,0.5440900562851783,,1,0.4986449864498645,,1,0.35862735621072983,,1,0.4125514403292181,,1,0.7341927562922038,,1
6,embedding_roberta,RoBERTa embedding,0.41681901279707495,,1,0.44635193133047213,,1,0.38588235294117645,,1,0.3433703116745906,,1,0.39475123018042646,,1,0.4324460070316424,,1
7,embedding_bert,BERT embedding,0.20602526724975703,,1,0.33967391304347827,,1,0.3113456464379947,,1,0.25770308123249297,,1,0.27388535031847133,,1,0.3941677993327567,,1
8,embedding_jina,Jina embedding,0.43478260869565216,,1,0.3401360544217687,,1,0.3398230088495575,,1,0.2930943595150237,,1,0.3337222870478413,,1,0.5862984599044079,,1
9,equal_fusion_e5,Equal fusion + E5,0.4963855421686747,,1,0.5330882352941176,,1,0.5474254742547425,,1,0.3276477588258628,,1,0.3634847853272197,,1,0.6706569343065694,,1
10,convex_fusion_e5,Convex fusion + E5,0.4896907216494845,,1,0.5296052631578947,,1,0.5617977528089888,,1,0.35570469798657717,,1,0.3962362780972295,,1,0.7103089629856225,,1
11,hef_linear_e5,HEF-linear + E5,0.6740088105726872,0.0,3,0.5605095541401274,0.0,3,0.7231638418079096,0.0,3,0.42273819055244194,0.0,3,0.4975767366720517,0.0,3,0.8197187100440404,0.0,3
12,hef_linear_minilm,HEF-linear + MiniLM,0.6681318681318681,0.0,3,0.5520169851380042,0.0,3,0.7267605633802817,0.0,3,0.42142230026338895,0.0,3,0.46788990825688076,0.0,3,0.8269120184013801,0.0,3
13,hef_linear_bge,HEF-linear + BGE,0.6699507389162561,0.0,3,0.568935427574171,0.0,3,0.7252124645892352,0.0,3,0.4480796586059744,0.0,3,0.5190839694656488,0.0,3,0.8266244968372628,0.0,3
14,hef_linear_gte,HEF-linear + GTE,0.6770601336302895,0.0,3,0.5764499121265377,0.0,3,0.740506329113924,0.0,3,0.4592487597448618,0.0,3,0.5185185185185185,0.0,3,0.8305134189031506,0.0,3
15,hef_linear_roberta,HEF-linear + RoBERTa embedding,0.6363636363636364,0.0,3,0.5740740740740741,0.0,3,0.746177370030581,0.0,3,0.43783783783783786,0.0,3,0.5101744186046512,0.0,3,0.8063273727647868,0.0,3
16,hef_linear_bert,HEF-linear + BERT embedding,0.6550976138828634,0.0,3,0.5505376344086022,0.0,3,0.7130434782608696,0.0,3,0.40452830188679245,0.0,3,0.4750378214826021,0.0,3,0.8188053729637039,0.0,3
17,hef_linear_jina,HEF-linear + Jina embedding,0.6952595936794582,0.0,3,0.5446623093681917,0.0,3,0.7188405797101449,0.0,3,0.43026706231454004,0.0,3,0.4897959183673469,0.0,3,0.820969337289812,0.0,3
18,hef_gbdt_e5,HEF-GBDT + E5,0.7140961868136305,0.0046849237626827136,3,0.5816675381488888,0.009892790804706869,3,0.7844407718824102,0.010518392244772752,3,0.4790615737322126,0.009970207902665874,3,0.5142137673989498,0.0016046326419122366,3,0.8602926699689689,0.0012427960490436305,3
19,hef_gbdt_minilm,HEF-GBDT + MiniLM,0.7117043812359395,0.0017753947255006973,3,0.5728565874907338,0.003059733736652319,3,0.7708485905052737,0.013946311208679625,3,0.44071615292101357,0.011917839013921443,3,0.47604997402043203,0.00239769623302177,3,0.8551249553294346,0.0031039409612479666,3
20,hef_gbdt_bge,HEF-GBDT + BGE,0.7332439513672113,0.0037580050029790714,3,0.5894155369720362,0.00363679526711723,3,0.7773078086531271,0.005880878198002086,3,0.4678921768737859,0.004790602704359159,3,0.5269880825696732,0.0012820067273810734,3,0.8622960681707093,0.0010658876835525563,3
21,hef_gbdt_gte,HEF-GBDT + GTE,0.7289785732541363,0.009302865157965131,3,0.5846455031795056,0.00023913334082138833,3,0.7880256201487271,0.00489585551159267,3,0.4812111227045156,0.0008399893630356813,3,0.5249446537626002,0.0020683349823564815,3,0.857185747707139,0.0008761094253022655,3
22,hef_gbdt_roberta,HEF-GBDT + RoBERTa embedding,0.7148199404571219,0.011088881303800459,3,0.5671425512151983,0.009058345367340973,3,0.7811759877206745,0.0052333127303075015,3,0.4570660848920503,0.006248253081460334,3,0.49805700833656713,0.009257064231053902,3,0.8514304720325797,0.002283119101702291,3
23,hef_gbdt_bert,HEF-GBDT + BERT embedding,0.6930542593309205,0.015656137279221365,3,0.5687827349573282,0.011637842925491377,3,0.7626895310969917,0.014083641319941739,3,0.44394966902572075,0.003290656859044829,3,0.4760863044063196,0.005368280952261862,3,0.8474187577305063,0.005326955886305377,3
24,hef_gbdt_jina,HEF-GBDT + Jina embedding,0.7025944117189243,0.016241342292215626,3,0.5635860933223364,0.011209057510766212,3,0.7664895101708336,0.005643562622425354,3,0.44937309181027324,0.007170565679900116,3,0.48927978695408475,0.004603373439011955,3,0.8511363254848973,0.002073345227142077,3
25,jina_zero_shot,Jina zero-shot,0.6564885496183206,,1,0.5517241379310345,,1,0.6212534059945504,,1,0.46986301369863015,,1,0.5025706940874036,,1,0.6203385165818082,,1
26,jina_finetuned,Jina fine-tuned,0.8974393580659871,0.01573740260011199,3,0.7587592735968289,0.005232030310106163,3,0.8594039314528019,0.0040068559550517765,3,0.7513733462020865,0.0027154907724086888,3,0.7395250653959681,0.009391525407977337,3,0.9320421619843211,0.006754496527938473,3
27,tuned_roberta,Tuned RoBERTa,0.9081467023346297,0.006447205657516212,3,0.7622027950443284,0.00739362946388447,3,0.8769318777643912,0.0047578485321587444,3,0.7262304504271563,0.0025464906731524177,3,0.6996747331155094,0.00629329228832807,3,0.9386961887919711,0.003024811624999481,3
28,ditto_style_mixda,Ditto-style RoBERTa + MixDA,0.9078406736685065,0.008430171747014884,3,0.7498875796299204,0.020974861280419754,3,0.8808617107778979,0.010344700649587814,3,0.7345928267342691,0.00965996137646398,3,0.7194337135882146,0.004406975690798568,3,0.9446015462195481,0.0018306528392344693,3
29,official_ditto_plain,Official Ditto,0.8999045547308703,0.00821654974880171,3,0.7321151432209296,0.02768804600833604,3,0.8551479468599034,0.01268183335855834,3,0.721572935752835,0.007416866950547274,3,0.7033451080401065,0.016425999760399795,3,0.9419036785044149,0.0006306207322233532,3
30,official_ditto_mixda,Official Ditto + MixDA,0.8971790042365058,0.006063390621773394,3,0.7441807302747998,0.006355857976714687,3,0.8660622876942443,0.008333357031610374,3,0.7354160739047779,0.008065578300738426,3,0.7011777335733005,0.006355918225909939,3,0.9452541917942754,0.0011271712949278694,3
31,anymatch,AnyMatch,0.6029614250794197,0.05331381198902977,3,0.429632209234734,0.03641781090669923,3,0.49693072982210296,0.09491513104129645,3,0.3666066631694276,0.005523981200980228,3,0.40281278336711784,0.05934367073913444,3,0.32322731773286,0.027906518780679436,3
32,hef_gbdt_mixda_e5,HEF-GBDT + MixDA-style augmentation + E5,0.72544080604534,0.0,3,0.5995717344753747,0.0,3,0.7784431137724551,0.0,3,0.47043189368770766,0.0,3,0.5127055306427504,0.0,3,0.8595161760419703,0.0,3
33,hef_gbdt_mixda_jina,HEF-GBDT + MixDA-style augmentation + Jina embedding,0.7128712871287128,0.0,3,0.5708502024291497,0.0,3,0.7675070028011205,0.0,3,0.44129554655870445,0.0,3,0.49217002237136465,0.0,3,0.845578902834579,0.0,3
34,hef_gbdt_mixda_roberta,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,0.7255369928400954,0.0,3,0.5799256505576208,0.0,3,0.7917888563049853,0.0,3,0.4482084690553746,0.0,3,0.5186267348429511,0.0,3,0.8375035141973574,0.0,3
35,hef_gbdt_mixda_bert,HEF-GBDT + MixDA-style augmentation + BERT embedding,0.7105882352941176,0.0,3,0.5628140703517588,0.0,3,0.7719298245614035,0.0,3,0.44039270687237025,0.0,3,0.4868519909842224,0.0,3,0.8487734487734487,0.0,3
36,hef_e5_jina_zero_shot,HEF-GBDT + E5 + Jina zero-shot,0.7813528634531022,0.009210017779363863,3,0.6093224497279757,0.0019468574530799704,3,0.8090884839208204,0.008267900277382006,3,0.5456060235780749,0.013824574998092188,3,0.596900492393621,0.016031600490715215,3,0.8817839873657857,0.0022974999476958633,3
37,hef_e5_tuned_roberta,HEF-GBDT + E5 + fine-tuned RoBERTa (OOF),0.9038064339794337,0.014917563024638156,3,0.7260509890460466,0.015493389423601516,3,0.8864248546066728,0.0028304335932393433,3,0.7318769335541572,0.007394494986428573,3,0.7192876846602921,0.01622549337847275,3,0.9356373744825014,0.006116191277044895,3
