model,dataset,scenario,mask_probability,mask_seed,queries,mrr_at_100,hits_at_1,mrr_retention,hits_at_1_retention,total_seconds,semantic_encoding_seconds,structured_features_seconds,cached_fusion_seconds,neural_scoring_seconds,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,rss_peak_bytes
hef_gbdt_e5_jina_oof,abt_buy,p00_seed20260725,0.0,20260725,154,0.9745670995670996,0.9545454545454546,1.0,1.0,80.62058926399914,,3.053655545008951,0.05776952000451274,,6668491264,7497318400,2547159040
hef_gbdt_e5_jina_oof,amazon_google,p00_seed20260725,0.0,20260725,163,0.9228016359918202,0.8650306748466258,1.0,1.0,40.54682658999809,,1.9645098209875869,0.24590381000598427,,4673142272,5041553408,2516484096
hef_gbdt_e5_jina_oof,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.9365522893153725,0.8978461538461538,1.0,1.0,2308.8070353649964,,47.97383086300397,0.5446943379938602,,6501552128,7014973440,5991616512
hef_gbdt_e5_jina_oof,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9631043256997455,0.9389312977099237,1.0,1.0,49.562279648991534,,2.3030595690070186,0.22437985699798446,,5172889600,5565841408,2540224512
hef_gbdt_e5_jina_oof,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.8640051976216154,0.792,1.0,1.0,502.0480922470015,,14.26429470400035,0.11517724599980284,,8982775296,11043602432,2913091584
hef_gbdt_e5_jina_oof,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.8914444444444445,0.838,1.0,1.0,536.3075849340094,,14.794058601008146,0.11581678499351256,,8982775296,11045699584,2931920896
hef_gbdt_e5_roberta_oof,abt_buy,p00_seed20260725,0.0,20260725,154,0.9669913419913421,0.9415584415584416,1.0,1.0,71.42061834900232,,2.956832249998115,0.10162389700417407,,3949705728,4645191680,1743753216
hef_gbdt_e5_roberta_oof,amazon_google,p00_seed20260725,0.0,20260725,163,0.9283571915473756,0.8834355828220859,1.0,1.0,37.45046646600531,,1.9660746539884713,0.21646921600040514,,2804835840,3091202048,1703301120
hef_gbdt_e5_roberta_oof,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.6623961816985124,0.5132307692307693,1.0,1.0,2077.8502934610005,,48.31380443199305,0.7845520859991666,,4344027648,5232394240,5214511104
hef_gbdt_e5_roberta_oof,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9685750636132316,0.9465648854961832,1.0,1.0,45.07783396200102,,2.330321700006607,0.07581553200725466,,3264796160,3741319168,1704271872
hef_gbdt_e5_roberta_oof,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.8207647274635345,0.742,1.0,1.0,426.16336449899245,,14.31555922300322,0.17512335898936726,,7049603584,9198108672,2118303744
hef_gbdt_e5_roberta_oof,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.8470955774617539,0.776,1.0,1.0,451.884818630002,,14.728442097999505,0.799491058991407,,7049603584,9200205824,2127351808
hef_linear_bert,abt_buy,p00_seed20260725,0.0,20260725,154,0.8952380952380953,0.8246753246753247,1.0,1.0,35.80082401400432,32.802875947003486,2.9784408880077535,0.016576776004512794,,1673552896,2063597568,1910841344
hef_linear_bert,amazon_google,p00_seed20260725,0.0,20260725,163,0.902893011328594,0.8404907975460123,1.0,1.0,19.955313636004576,17.976396211000974,1.9619924679864198,0.014106981994700618,,1083867136,1306525696,1510260736
hef_linear_bert,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.7587158189439693,0.6630769230769231,1.0,1.0,1101.0828722600127,1053.6503805480024,47.23678753900458,0.12488261600083206,,1673552896,2168455168,5131710464
hef_linear_bert,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9384223918575064,0.9007633587786259,1.0,1.0,24.550507963998825,22.166473367993603,2.363182679997408,0.01869096400332637,,1571316736,1977614336,1513594880
hef_linear_bert,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.5671021464841686,0.388,1.0,1.0,144.32490094700188,130.25234548498702,14.020114886006922,0.042392940988065675,,1673552896,2168455168,2080219136
hef_linear_bert,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.6800739744517608,0.532,1.0,1.0,149.23870755700045,134.13230716600083,15.069422140993993,0.025774680005270056,,1673552896,2147483648,2078588928
hef_linear_bge,abt_buy,p00_seed20260725,0.0,20260725,154,0.916991341991342,0.8701298701298701,1.0,1.0,36.45207328599645,33.45904450699163,2.97180386200489,0.0183458199899178,,2346302464,2963275776,1573486592
hef_linear_bge,amazon_google,p00_seed20260725,0.0,20260725,163,0.9154907975460123,0.8588957055214724,1.0,1.0,19.612344354987727,17.612123630999122,1.9816124299977673,0.016261867989669554,,1083867136,1306525696,1485332480
hef_linear_bge,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.786030555194933,0.6756923076923077,1.0,1.0,1131.4009429720027,1083.9806690959958,47.2317438290047,0.12159617300494574,,2120574976,2692743168,5114871808
hef_linear_bge,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9418029807342784,0.9083969465648855,1.0,1.0,24.34638026599714,22.018780436003,2.3081835150078405,0.016866908001247793,,1607009280,2019557376,1490132992
hef_linear_bge,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.6084930547961057,0.434,1.0,1.0,194.80678872999852,180.50918523099972,14.238002587997471,0.04120006300217938,,5553808384,7707033600,2061918208
hef_linear_bge,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.7283009684759685,0.59,1.0,1.0,209.63144559900684,194.60763267800212,14.976618191009038,0.03591168898856267,,5553808384,7707033600,2069475328
jina_finetuned,abt_buy,p00_seed20260725,0.0,20260725,154,0.9653679653679655,0.9415584415584416,1.0,1.0,41.62934563499584,,,,,6230554112,7136608256,2284765184
jina_finetuned,amazon_google,p00_seed20260725,0.0,20260725,163,0.9255623721881391,0.8711656441717791,1.0,1.0,19.241647638002178,,,,,4235205120,4659871744,2266693632
jina_finetuned,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.944242716258101,0.908923076923077,1.0,1.0,1165.8068299419974,,,,,6063614976,6696206336,3153756160
jina_finetuned,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9478371501272264,0.916030534351145,1.0,1.0,23.46536813500279,,,,,4734952448,5354029056,2274902016
jina_finetuned,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.8722321923247832,0.81,1.0,1.0,303.0716366790002,,,,,8544838144,9823059968,2412134400
jina_finetuned,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.88470001232377,0.826,1.0,1.0,319.9568466960045,,,,,8544838144,9823059968,2443427840
joint_neural_hef_jina,abt_buy,p00_seed20260725,0.0,20260725,154,0.9690012368583798,0.948051948051948,1.0,1.0,51.639936669002054,,8.734635760993115,,,4894441984,5291114496,5785055232
joint_neural_hef_jina,amazon_google,p00_seed20260725,0.0,20260725,163,0.9667689161554193,0.9386503067484663,1.0,1.0,27.39333700800489,,5.812889520006138,,,3893137408,4072669184,5624049664
joint_neural_hef_jina,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.85997798729536,0.7892307692307692,1.0,1.0,1351.1242972649925,,145.7088020839874,,,4798460928,5186256896,6908452864
joint_neural_hef_jina,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9640036851803107,0.9465648854961832,1.0,1.0,32.09817900598864,,6.967312366003171,,,4143835648,4387241984,5621272576
joint_neural_hef_jina,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.8719768507332462,0.81,1.0,1.0,346.429623745993,,42.8021074749995,,,6027293184,6591348736,5802700800
joint_neural_hef_jina,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.8750751576201576,0.812,1.0,1.0,368.73729517099855,,44.537236721022055,,,6027293184,6591348736,5826613248
joint_neural_hef_roberta,abt_buy,p00_seed20260725,0.0,20260725,154,0.9800275482093664,0.9675324675324676,1.0,1.0,75.03392867499497,,8.959000548013137,,,6090400768,6532628480,5791170560
joint_neural_hef_roberta,amazon_google,p00_seed20260725,0.0,20260725,163,0.9437627811860939,0.901840490797546,1.0,1.0,40.89368593999825,,5.827739318992826,,,5360313344,5544869888,5783310336
joint_neural_hef_roberta,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.8040811847246416,0.7009230769230769,1.0,1.0,2061.0598347449995,,142.48171834700042,,,6363753984,7014973440,7066238976
joint_neural_hef_roberta,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9673228873710994,0.9465648854961832,1.0,1.0,46.79121067500091,,6.854694918001769,,,5655151616,5924454400,5785976832
joint_neural_hef_roberta,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.7773554780899886,0.684,1.0,1.0,524.2176036400051,,43.00522893000743,,,7029769216,8063549440,5955256320
joint_neural_hef_roberta,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.7468635644708136,0.642,1.0,1.0,534.6617963260069,,44.51034397201147,,,7029769216,8063549440,5985157120
official_ditto_mixda,abt_buy,p00_seed20260725,0.0,20260725,154,0.9636363636363636,0.948051948051948,1.0,1.0,23.96032463600568,,,,,3185610240,3676307456,1886445568
official_ditto_mixda,amazon_google,p00_seed20260725,0.0,20260725,163,0.9433882309198081,0.901840490797546,1.0,1.0,11.450070400998811,,,,,2211555840,2436890624,1824964608
official_ditto_mixda,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.7572383711641358,0.680923076923077,1.0,1.0,569.9638487589982,,,,,3185610240,3697278976,2490589184
official_ditto_mixda,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9693885419076259,0.9541984732824428,1.0,1.0,13.114805406003143,,,,,2601177600,3003121664,1835134976
