model,dataset,scenario,mask_probability,mask_seed,queries,mrr_at_100,hits_at_1,mrr_retention,hits_at_1_retention,total_seconds,semantic_encoding_seconds,structured_features_seconds,cached_fusion_seconds,neural_scoring_seconds,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,rss_peak_bytes
hef_gbdt_e5_jina_oof,abt_buy,p00_seed20260725,0.0,20260725,154,0.9745670995670996,0.9545454545454546,1.0,1.0,80.62058926399914,,3.053655545008951,0.05776952000451274,,6668491264,7497318400,2547159040
hef_gbdt_e5_jina_oof,abt_buy,p10_seed20260725,0.1,20260725,154,0.9354256854256855,0.8961038961038961,0.9598371275217472,0.9387755102040816,75.0904017790017,,2.651252793002641,0.03339606100053061,,6668491264,7497318400,2689753088
hef_gbdt_e5_jina_oof,abt_buy,p10_seed20260726,0.1,20260726,154,0.9014729125330064,0.8701298701298701,0.924998302254856,0.91156462585034,74.41393074499501,,2.512083334993804,0.029845530007150955,,6668491264,7497318400,2693599232
hef_gbdt_e5_jina_oof,abt_buy,p10_seed20260727,0.1,20260727,154,0.9081821884767335,0.8766233766233766,0.9318826675763483,0.9183673469387755,74.86036556500767,,2.600314242998138,0.02645135499187745,,6668491264,7497318400,2694746112
hef_gbdt_e5_jina_oof,abt_buy,p30_seed20260725,0.3,20260725,154,0.7834730351523582,0.7272727272727273,0.8039190277410094,0.7619047619047619,65.19360170100117,,1.9774857370066456,0.025587091004126705,,6668491264,7497318400,2694750208
hef_gbdt_e5_jina_oof,abt_buy,p30_seed20260726,0.3,20260726,154,0.6992990942511196,0.6558441558441559,0.7175484320799939,0.6870748299319728,63.553194801002974,,1.8852300159924198,0.02742579800542444,,6668491264,7497318400,2694881280
hef_gbdt_e5_jina_oof,abt_buy,p30_seed20260727,0.3,20260727,154,0.7103385934091107,0.6558441558441559,0.7288760247751451,0.6870748299319728,63.732425323003554,,1.9637067129951902,0.036732138993102126,,6656407552,7497318400,2695802880
hef_gbdt_e5_jina_oof,abt_buy,p50_seed20260725,0.5,20260725,154,0.4940138818050155,0.42857142857142855,0.5069059708915428,0.44897959183673464,53.422582729006535,,1.422708533005789,0.04118831700179726,,6668491264,7497318400,2695802880
hef_gbdt_e5_jina_oof,abt_buy,p50_seed20260726,0.5,20260726,154,0.47946065677796906,0.4090909090909091,0.49197295598316865,0.4285714285714286,51.666637075992185,,1.38295639998978,0.0258591269957833,,6668491264,7497318400,2695802880
hef_gbdt_e5_jina_oof,abt_buy,p50_seed20260727,0.5,20260727,154,0.47339525399986965,0.4155844155844156,0.48574926673612384,0.43537414965986393,50.432475556008285,,1.3774593459966127,0.032442533993162215,,5830392320,7497318400,2695868416
hef_gbdt_e5_jina_oof,abt_buy,p70_seed20260725,0.7,20260725,154,0.27452471042656906,0.19480519480519481,0.2816888755515267,0.20408163265306123,39.65844451599696,,0.9678084319893969,0.02634385098644998,,6328034304,7497318400,2695868416
hef_gbdt_e5_jina_oof,abt_buy,p70_seed20260726,0.7,20260726,154,0.29581916563881666,0.21428571428571427,0.3035390439203404,0.22448979591836732,35.60414659000526,,0.898990126006538,0.024492310010828078,,5840657408,7497318400,2695868416
hef_gbdt_e5_jina_oof,abt_buy,p70_seed20260727,0.7,20260727,154,0.30872982909125674,0.22727272727272727,0.31678663196037893,0.23809523809523808,37.88494733598782,,0.9505943049880443,0.02656425500754267,,5699179008,7497318400,2695868416
hef_gbdt_e5_jina_oof,amazon_google,p00_seed20260725,0.0,20260725,163,0.9228016359918202,0.8650306748466258,1.0,1.0,40.54682658999809,,1.9645098209875869,0.24590381000598427,,4673142272,5041553408,2516484096
hef_gbdt_e5_jina_oof,amazon_google,p10_seed20260725,0.1,20260725,163,0.8410936949894007,0.7791411042944786,0.9114566578389294,0.9007092198581561,36.624104137998074,,1.691296089993557,0.21189873600087594,,4643629568,5041553408,2671722496
hef_gbdt_e5_jina_oof,amazon_google,p10_seed20260726,0.1,20260726,163,0.7857611839122153,0.7055214723926381,0.8514952220123506,0.8156028368794327,37.31737710299785,,1.8006491100095445,0.24487595800019335,,4673142272,5041553408,2673909760
hef_gbdt_e5_jina_oof,amazon_google,p10_seed20260727,0.1,20260727,163,0.8741353840157334,0.8220858895705522,0.9472624992436423,0.950354609929078,37.738099523994606,,1.825730771990493,0.22892512699763756,,4673142272,5041553408,2673930240
hef_gbdt_e5_jina_oof,amazon_google,p30_seed20260725,0.3,20260725,163,0.5700031071628033,0.48466257668711654,0.6176875776235142,0.5602836879432623,31.445907437999267,,1.3507750059943646,0.295003965991782,,4602311168,5041553408,2674126848
hef_gbdt_e5_jina_oof,amazon_google,p30_seed20260726,0.3,20260726,163,0.5310069488736702,0.4662576687116564,0.5754291368403871,0.5390070921985816,31.86168357200222,,1.3684519570088014,0.2792596780054737,,4667239936,5041553408,2674229248
hef_gbdt_e5_jina_oof,amazon_google,p30_seed20260727,0.3,20260727,163,0.5731686385047358,0.5214723926380368,0.6211179262688438,0.6028368794326241,31.721713027000078,,1.379098799006897,0.29587455600267276,,4673142272,5041553408,2678153216
hef_gbdt_e5_jina_oof,amazon_google,p50_seed20260725,0.5,20260725,163,0.4265238194071096,0.3619631901840491,0.4622053134406129,0.4184397163120568,25.5316907279921,,1.0018983930058312,0.23249135501100682,,4578700800,5041553408,2678231040
hef_gbdt_e5_jina_oof,amazon_google,p50_seed20260726,0.5,20260726,163,0.39178394260653815,0.3312883435582822,0.4245592197996612,0.3829787234042553,26.25602460600203,,1.0129017370054498,0.28819742100313306,,4578700800,5041553408,2678231040
hef_gbdt_e5_jina_oof,amazon_google,p50_seed20260727,0.5,20260727,163,0.40177809891708804,0.3312883435582822,0.4353894523445009,0.3829787234042553,25.7962325559929,,0.9930462039919803,0.2374326290009776,,4560993280,5041553408,2678280192
hef_gbdt_e5_jina_oof,amazon_google,p70_seed20260725,0.7,20260725,163,0.36175924320737274,0.294478527607362,0.39202275884411136,0.34042553191489366,19.98964276899642,,0.7669844689953607,0.2786189479957102,,4549188096,5041553408,2678358016
hef_gbdt_e5_jina_oof,amazon_google,p70_seed20260726,0.7,20260726,163,0.3449819076518934,0.2883435582822086,0.3738418899540739,0.3333333333333333,19.90624232198752,,0.7557036119978875,0.2963223320111865,,4501967360,5041553408,2681847808
hef_gbdt_e5_jina_oof,amazon_google,p70_seed20260727,0.7,20260727,163,0.3544857947555364,0.27607361963190186,0.3841408390813457,0.3191489361702128,19.868718034995254,,0.7356553639983758,0.3071355800057063,,4519674880,5041553408,2681847808
hef_gbdt_e5_jina_oof,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.9365522893153725,0.8978461538461538,1.0,1.0,2308.8070353649964,,47.97383086300397,0.5446943379938602,,6501552128,7014973440,5991616512
hef_gbdt_e5_jina_oof,link_lives_release2,p10_seed20260725,0.1,20260725,3250,0.8028697168552122,0.7323076923076923,0.857260962377356,0.8156271418779987,2141.1600245610025,,44.479022963001626,0.4354855779965874,,6501552128,7014973440,6385352704
hef_gbdt_e5_jina_oof,link_lives_release2,p10_seed20260726,0.1,20260726,3250,0.8045506690086617,0.7313846153846154,0.8590557923859168,0.8145990404386566,2127.2898613720026,,45.175073557009455,0.4153693340049358,,6466406400,7014973440,6449348608
hef_gbdt_e5_jina_oof,link_lives_release2,p10_seed20260727,0.1,20260727,3250,0.8065312825323837,0.7356923076923076,0.8611705846365127,0.8193968471555859,2139.2136358760035,,45.360911751995445,0.4641420370026026,,6362295296,7014973440,6465576960
