family,dataset,mask_probability,mask_seed,left_model,right_model,metric,comparison_type,left_mean,right_mean,paired_difference,ci95_lower,ci95_upper,effect_size_paired_dz,probability_of_superiority,raw_p_value,queries,holm_adjusted_p_value,statistically_supported_0_05
public__abt_buy__p00__seed20260725__reciprocal_rank,abt_buy,0.0,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint,0.9800275482093664,0.9690012368583798,0.011026311350986676,-0.008559622195985831,0.029916512059369207,0.0909703027837493,0.512987012987013,0.251,154,1.0,False
public__abt_buy__p00__seed20260725__hit_at_1,abt_buy,0.0,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint,0.9675324675324676,0.948051948051948,0.01948051948051948,-0.006493506493506494,0.05194805194805195,0.10839625584229695,0.5097402597402597,0.2542,154,1.0,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family,0.9295866831581118,0.8502371443403982,0.07934953881771356,0.038622164640119014,0.12136108077578131,0.29481932227952,0.577922077922078,0.0,154,0.0,True
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,jina_finetuned,hef_linear_bert,hit_at_1,cross_family,0.9025974025974026,0.7792207792207793,0.12337662337662338,0.05844155844155844,0.18831168831168832,0.3073396960085868,0.5616883116883117,0.0,154,0.0,True
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.9295866831581118,0.9353022339978861,-0.005715550839774443,-0.027529696235441575,0.01326786050388535,-0.04458888513064005,0.4967532467532468,0.562,154,1.0,False
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.9025974025974026,0.9090909090909091,-0.006493506493506494,-0.032467532467532464,0.01948051948051948,-0.03594365069613897,0.4967532467532468,0.8078,154,1.0,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.9295866831581118,0.8771240934390284,0.05246258971908323,0.014969210308090177,0.09301797544086503,0.21343343454584063,0.538961038961039,0.0058,154,0.0406,True
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family,0.9025974025974026,0.8441558441558441,0.05844155844155844,0.012987012987012988,0.11038961038961038,0.19000841280756975,0.5292207792207793,0.0192,154,0.1376,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.8502371443403982,0.9353022339978861,-0.08506508965748802,-0.12392462653943297,-0.04942335919900075,-0.3542139387690669,0.4253246753246753,0.0,154,0.0,True
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.7792207792207793,0.9090909090909091,-0.12987012987012986,-0.19480519480519481,-0.07142857142857142,-0.34723360493537936,0.43506493506493504,0.0,154,0.0,True
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.8502371443403982,0.8771240934390284,-0.02688694909863034,-0.07822025033781771,0.027664440095755943,-0.07922123115910579,0.4675324675324675,0.3046,154,1.0,False
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family,0.7792207792207793,0.8441558441558441,-0.06493506493506493,-0.13636363636363635,0.006493506493506494,-0.13908261495681665,0.4675324675324676,0.1,154,0.5,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.9353022339978861,0.8771240934390284,0.05817814055885767,0.022312696925698056,0.09705212190289476,0.2469357335044377,0.5357142857142857,0.001,154,0.009000000000000001,True
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family,0.9090909090909091,0.8441558441558441,0.06493506493506493,0.01948051948051948,0.11038961038961038,0.21982333876962554,0.5324675324675324,0.005,154,0.045,True
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone,0.9295866831581118,0.916032472288811,0.013554210869300698,-0.01253720486365915,0.03945874375742982,0.0818569674083861,0.5162337662337663,0.3054,154,1.0,False
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone,0.9025974025974026,0.8766233766233766,0.025974025974025976,-0.012987012987012988,0.06493506493506493,0.10212988968721273,0.512987012987013,0.2622,154,0.7866,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone,0.8970189037153322,0.9387614159789852,-0.04174251226365294,-0.08332046875856212,-0.003572652288359693,-0.16739956303350198,0.4707792207792208,0.0322,154,0.19319999999999998,False
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone,0.8701298701298701,0.922077922077922,-0.05194805194805195,-0.09740259740259741,-0.012987012987012988,-0.18878953508149432,0.474025974025974,0.0172,154,0.1376,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear,0.8502371443403982,0.8726149243289425,-0.022377779988544413,-0.049406074145030815,0.0030482738840231596,-0.13470040743953315,0.4675324675324676,0.0856,154,0.428,False
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear,0.7792207792207793,0.8181818181818182,-0.03896103896103896,-0.08441558441558442,0.006493506493506494,-0.12988789390883407,0.4805194805194805,0.1324,154,0.5296,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt,0.9353022339978861,0.9354256854256855,-0.00012345142779925298,-0.018918349766175853,0.019263458763458755,-0.0010070226580677466,0.4967532467532468,0.985,154,1.0,False
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt,0.9090909090909091,0.8961038961038961,0.012987012987012988,-0.01948051948051948,0.045454545454545456,0.06572361409743253,0.5064935064935064,0.533,154,1.0,False
public__abt_buy__p10__seed20260725__reciprocal_rank,abt_buy,0.1,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint,0.8771240934390284,0.9308539028259525,-0.05372980938692401,-0.09328805493631158,-0.016318640598531903,-0.22293554872292062,0.4610389610389611,0.0042,154,0.0336,True
public__abt_buy__p10__seed20260725__hit_at_1,abt_buy,0.1,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint,0.8441558441558441,0.9025974025974026,-0.05844155844155844,-0.11038961038961038,-0.012987012987012988,-0.19000841280756978,0.4707792207792208,0.0186,154,0.1376,False
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family,0.8947159515448697,0.7764549473192329,0.11826100422563675,0.07029947851224935,0.16751292289039582,0.3863102268695915,0.5909090909090909,0.0,154,0.0,True
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,jina_finetuned,hef_linear_bert,hit_at_1,cross_family,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.08441558441558442,0.2077922077922078,0.3696040352284358,0.5714285714285714,0.0,154,0.0,True
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.8947159515448697,0.8668709333269343,0.027845018217935204,-0.007886521398331556,0.06545541652166774,0.11959806362689501,0.5292207792207793,0.1278,154,0.639,False
