family,dataset,method,model_id,runs,mrr_mean,mrr_std_sample,hits_at_1_mean,hits_at_1_std_sample,hits_at_5_mean,hits_at_5_std_sample,hits_at_10_mean,hits_at_10_std_sample,hits_at_100_mean,hits_at_100_std_sample,hits_at_100_e2e_mean,hits_at_100_e2e_std_sample,ndcg_mean,ndcg_std_sample
jina_oof,abt_buy,hef_gbdt_e5_plus_tuned_jina,jinaai/jina-reranker-v2-base-multilingual,3,0.9591512059369203,0.006164153008589862,0.9372294372294372,0.009918995010726905,0.9891774891774892,0.00374902772201059,0.9978354978354979,0.0037490277220105263,1.0,0.0,1.0,0.0,,
jina_oof,abt_buy,jina_finetuned,jinaai/jina-reranker-v2-base-multilingual,3,0.963612532248896,0.0017586668789614029,0.9415584415584416,0.006493506493506496,0.987012987012987,0.006493506493506496,0.9935064935064936,0.011247083166031643,1.0,0.0,1.0,0.0,,
jina_oof,amazon_google,hef_gbdt_e5_plus_tuned_jina,jinaai/jina-reranker-v2-base-multilingual,3,0.9052488070892979,0.00951433186926238,0.8323108384458078,0.015439334223457587,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,
jina_oof,amazon_google,jina_finetuned,jinaai/jina-reranker-v2-base-multilingual,3,0.9205180640763462,0.004272919560085551,0.8629856850715746,0.009371320439582501,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,
jina_oof,link_lives_release2,hef_gbdt_e5_plus_tuned_jina,jinaai/jina-reranker-v2-base-multilingual,3,0.9323916039274295,0.023091389568639147,0.8744534665833854,0.041914051392398746,0.9971892567145534,0.0013613051041663658,0.9991671871746824,0.00018030926583061517,1.0,0.0,0.9852307692307692,0.0,,
jina_oof,link_lives_release2,jina_finetuned,jinaai/jina-reranker-v2-base-multilingual,3,0.9440309056548739,0.016207563905636237,0.8973558192796168,0.02689510803066236,0.9970851551113887,0.0011823669260462861,0.9989589839683531,0.0010039195045797441,1.0,0.0,0.9852307692307692,0.0,,
jina_oof,walmart_amazon,hef_gbdt_e5_plus_tuned_jina,jinaai/jina-reranker-v2-base-multilingual,3,0.9617733411626541,0.005695023682997932,0.9363867684478372,0.008814507926559186,0.9949109414758269,0.004407253963279593,0.9949109414758269,0.004407253963279593,1.0,0.0,1.0,0.0,,
jina_oof,walmart_amazon,jina_finetuned,jinaai/jina-reranker-v2-base-multilingual,3,0.9562583303041319,0.006728715051509693,0.9287531806615776,0.011660497951541598,0.9974554707379135,0.004407253963279593,1.0,0.0,1.0,0.0,1.0,0.0,,
jina_oof,wdc_80_medium_seen,hef_gbdt_e5_plus_tuned_jina,jinaai/jina-reranker-v2-base-multilingual,3,0.8552314263475859,0.015401578246630923,0.7889111556446226,0.017508807511130486,0.9398797595190381,0.01712225199462427,0.9812959251837007,0.0050433095759991695,1.0,0.0,0.998,0.0,,
jina_oof,wdc_80_medium_seen,jina_finetuned,jinaai/jina-reranker-v2-base-multilingual,3,0.8645840947661777,0.019629844442988015,0.7995991983967936,0.029926221489114353,0.9472277889111557,0.015174103796393468,0.9679358717434869,0.014451107316488949,1.0,0.0,0.998,0.0,,
jina_oof,wdc_80_medium_unseen,hef_gbdt_e5_plus_tuned_jina,jinaai/jina-reranker-v2-base-multilingual,3,0.8783935748544183,0.0009362708922757952,0.8145917001338688,0.0070519770768759735,0.9618473895582329,0.010625507273351776,0.9899598393574297,0.005312753636675846,1.0,0.0,0.996,0.0,,
jina_oof,wdc_80_medium_unseen,jina_finetuned,jinaai/jina-reranker-v2-base-multilingual,3,0.8761036199786558,0.0118442308307629,0.8132530120481928,0.012540156623289988,0.9544846050870147,0.012909840376161892,0.9792503346720214,0.014246182499191951,1.0,0.0,0.996,0.0,,
propagated,abt_buy,hef_gbdt_e5_plus_official_ditto_mixda_all,roberta-base (Official Ditto),3,0.9704760967747981,0.007728198832441539,0.9523809523809524,0.013517311684845032,0.9935064935064936,0.0,0.9978354978354979,0.0037490277220105263,1.0,0.0,1.0,0.0,0.977356446792363,0.006274713931647779
propagated,abt_buy,hef_gbdt_e5_plus_official_ditto_plain,roberta-base (Official Ditto),3,0.9630326372973431,0.005108143083986904,0.9437229437229437,0.009918995010726954,0.9891774891774892,0.00374902772201059,0.9913419913419914,0.00374902772201059,1.0,0.0,1.0,0.0,0.9712961752325395,0.004073161479233245
propagated,abt_buy,hef_gbdt_mixda,intfloat/e5-base-v2,3,0.9461038961038962,0.0,0.9090909090909091,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9591906801370207,0.0
propagated,abt_buy,hef_gbdt_mixda,jinaai/jina-embeddings-v3,3,0.9328568617529656,0.0,0.8896103896103896,0.0,0.9805194805194806,0.0,0.9935064935064936,0.0,1.0,0.0,1.0,0.0,0.9493725082266997,0.0
propagated,abt_buy,hef_gbdt_mixda,sentence-transformers/all-roberta-large-v1,3,0.9254277468563182,0.0,0.8831168831168831,0.0,0.974025974025974,0.0,0.9935064935064936,0.0,1.0,0.0,1.0,0.0,0.9430444420917398,0.0
propagated,abt_buy,hef_gbdt_mixda,sentence-transformers/bert-base-nli-mean-tokens,3,0.8639904942467804,0.0,0.8116883116883117,0.0,0.935064935064935,0.0,0.9545454545454546,0.0,1.0,0.0,1.0,0.0,0.8936257318710069,0.0
propagated,abt_buy,official_ditto,roberta-base (Official Ditto),3,0.9737817216200675,0.003952958540198098,0.9588744588744589,0.007498055444021117,0.9935064935064936,0.006493506493506496,0.9978354978354979,0.0037490277220105263,1.0,0.0,1.0,0.0,0.9786419126906701,0.00318684710534642
propagated,abt_buy,official_ditto_mixda,roberta-base (Official Ditto),3,0.9574362986700649,0.0023109062248360224,0.9372294372294373,0.007498055444021117,0.9826839826839827,0.009918995010726954,0.987012987012987,0.006493506493506496,1.0,0.0,1.0,0.0,0.9657052715163744,0.0013658183175657825
propagated,amazon_google,hef_gbdt_e5_plus_official_ditto_mixda_all,roberta-base (Official Ditto),3,0.9209064216066083,0.020431942071912217,0.8670756646216768,0.030878668446915173,0.9795501022494888,0.012770957051939497,0.9856850715746421,0.00937132043958249,1.0,0.0,1.0,0.0,0.9402220340397992,0.015515271934744425
propagated,amazon_google,hef_gbdt_e5_plus_official_ditto_plain,roberta-base (Official Ditto),3,0.8865514047462025,0.051509511026891955,0.8302658486707567,0.06021444525290573,0.9570552147239264,0.03831287115581834,0.9775051124744376,0.018742640879164992,1.0,0.0,1.0,0.0,0.9120630039981643,0.04072456990116329
propagated,amazon_google,hef_gbdt_mixda,intfloat/e5-base-v2,3,0.8784318242440408,0.0,0.803680981595092,0.0,0.9815950920245399,0.0,0.9877300613496932,0.0,1.0,0.0,1.0,0.0,0.9061109764043718,0.0
propagated,amazon_google,hef_gbdt_mixda,jinaai/jina-embeddings-v3,3,0.8598256889667931,0.0,0.7730061349693251,0.0,0.9754601226993865,0.0,0.9877300613496932,0.0,1.0,0.0,1.0,0.0,0.8933152125800247,0.0
propagated,amazon_google,hef_gbdt_mixda,sentence-transformers/all-roberta-large-v1,3,0.8791905528177277,0.0,0.7914110429447853,0.0,0.9815950920245399,0.0,0.9877300613496932,0.0,1.0,0.0,1.0,0.0,0.9087958951339262,0.0
propagated,amazon_google,hef_gbdt_mixda,sentence-transformers/bert-base-nli-mean-tokens,3,0.7885564924684313,0.0,0.7177914110429447,0.0,0.8773006134969326,0.0,0.950920245398773,0.0,1.0,0.0,1.0,0.0,0.8289015018725444,0.0
propagated,amazon_google,official_ditto,roberta-base (Official Ditto),3,0.9397425371355281,0.01652305280558954,0.8957055214723926,0.028113961318747493,0.9877300613496932,0.0,0.9897750511247444,0.003542026191347441,1.0,0.0,1.0,0.0,0.9534662027900909,0.011213077872037158
propagated,amazon_google,official_ditto_mixda,roberta-base (Official Ditto),3,0.9233427746336256,0.011563858028572753,0.8711656441717791,0.01623160313536562,0.9815950920245399,0.010626078574042195,0.9856850715746421,0.00937132043958249,1.0,0.0,1.0,0.0,0.9417190860528017,0.008845447925712334
propagated,link_lives_release2,hef_gbdt_e5_plus_official_ditto_mixda_all,roberta-base (Official Ditto),3,0.16596007990851658,0.1661507528753273,0.12034145325838018,0.13356475044546773,0.19290027066416823,0.19517185003495843,0.23776806162814906,0.24350170541507238,1.0,0.0,0.9852307692307692,0.0,0.29900505238386366,0.15793218077914167
propagated,link_lives_release2,hef_gbdt_e5_plus_official_ditto_plain,roberta-base (Official Ditto),3,0.4248981084820088,0.3486529446377044,0.33135540287320425,0.2971752164504154,0.5330002082032064,0.4377384278607127,0.5916094107849261,0.47668644707956626,1.0,0.0,0.9852307692307692,0.0,0.5278510927604656,0.311138467953091
propagated,link_lives_release2,hef_gbdt_mixda,intfloat/e5-base-v2,3,0.012514407498468648,0.0,0.0009369144284821987,0.0,0.0021861336664584633,0.0,0.0037476577139287947,0.0,1.0,0.0,0.9852307692307692,0.0,0.15390897210153956,0.0
propagated,link_lives_release2,hef_gbdt_mixda,jinaai/jina-embeddings-v3,3,0.7256077832244902,0.0,0.6049344159900062,0.0,0.8728919425359151,0.0,0.9216114928169894,0.0,1.0,0.0,0.9852307692307692,0.0,0.7881412633067914,0.0
propagated,link_lives_release2,hef_gbdt_mixda,sentence-transformers/all-roberta-large-v1,3,0.7259200880339842,0.0,0.6055590256089943,0.0,0.8728919425359151,0.0,0.9216114928169894,0.0,1.0,0.0,0.9852307692307692,0.0,0.7883717881327927,0.0
propagated,link_lives_release2,hef_gbdt_mixda,sentence-transformers/bert-base-nli-mean-tokens,3,0.7262292697953833,0.0,0.6058713304184884,0.0,0.8732042473454091,0.0,0.9219237976264835,0.0,1.0,0.0,0.9852307692307692,0.0,0.788637187732036,0.0
propagated,link_lives_release2,official_ditto,roberta-base (Official Ditto),3,0.751197028045878,0.0,0.6545908806995627,0.0,0.8691442848219862,0.0,0.9166146158650843,0.0,1.0,0.0,0.9852307692307692,0.0,0.8065937975559428,0.0
propagated,link_lives_release2,official_ditto_mixda,roberta-base (Official Ditto),3,0.7509909068716117,0.00017850617317239042,0.6543826774932333,0.00018030926583061517,0.8689360816156568,0.00018030926583061517,0.9164064126587549,0.00018030926583061517,1.0,0.0,0.9852307692307692,0.0,0.8064168644897808,0.00015322853006582206
propagated,walmart_amazon,hef_gbdt_e5_plus_official_ditto_mixda_all,roberta-base (Official Ditto),3,0.9454193502496611,0.006939848884191404,0.926208651399491,0.008814507926559186,0.9669211195928753,0.004407253963279529,0.9720101781170484,0.01166049795154155,1.0,0.0,1.0,0.0,0.9515301995599331,0.007201896627935142
propagated,walmart_amazon,hef_gbdt_e5_plus_official_ditto_plain,roberta-base (Official Ditto),3,0.9477258480915928,0.016971065021631815,0.9338422391857506,0.01589058014859646,0.9618320610687022,0.0201965748936228,0.9694656488549618,0.0201965748936228,1.0,0.0,1.0,0.0,0.9523944800365118,0.014781083961056117
propagated,walmart_amazon,hef_gbdt_mixda,intfloat/e5-base-v2,3,0.8771157161563906,0.0,0.8473282442748091,0.0,0.9007633587786259,0.0,0.9618320610687023,0.0,1.0,0.0,1.0,0.0,0.8961703259887049,0.0
propagated,walmart_amazon,hef_gbdt_mixda,jinaai/jina-embeddings-v3,3,0.853111311653089,0.0,0.8091603053435115,0.0,0.9007633587786259,0.0,0.9389312977099237,0.0,1.0,0.0,1.0,0.0,0.8746622889835132,0.0
propagated,walmart_amazon,hef_gbdt_mixda,sentence-transformers/all-roberta-large-v1,3,0.8414355407103499,0.0,0.7786259541984732,0.0,0.916030534351145,0.0,0.9389312977099237,0.0,1.0,0.0,1.0,0.0,0.869452087939278,0.0
