model,dataset,method,mrr_at_100,hits_at_100,hits_at_100_end_to_end,mrr_at_100_std,runs
bge,wdc_80_medium_unseen,embedding,0.6034686457352678,1.0,0.992,,1
bge,wdc_80_medium_unseen,hef_linear,0.7319693495348738,1.0,0.992,0.0,3
bge,wdc_80_medium_unseen,hef_gbdt,0.7267580258003645,1.0,0.992,0.005464938324376542,3
bge,wdc_80_medium_unseen,hef_rank,0.7398434860154937,1.0,0.992,0.0,3
bge,link_lives_release2,embedding,0.6704069937250592,1.0,0.9627692307692308,,1
bge,link_lives_release2,hef_linear,0.8344026712821305,1.0,0.9627692307692308,0.0,3
bge,link_lives_release2,hef_gbdt,0.9082164988129564,1.0,0.9627692307692308,0.000330498210940744,3
bge,link_lives_release2,hef_rank,0.9084784857555711,1.0,0.9627692307692308,0.005090231195002046,3
gte,abt_buy,embedding,0.8837868480725624,1.0,1.0,,1
gte,abt_buy,hef_linear,0.9131983096268811,1.0,1.0,0.0,3
gte,abt_buy,hef_gbdt,0.9475600157418338,1.0,1.0,0.0028968423087476877,3
gte,abt_buy,hef_rank,0.9519480519480521,1.0,1.0,0.0,3
gte,amazon_google,embedding,0.8980354693317655,1.0,0.9938650306748467,,1
gte,amazon_google,hef_linear,0.9128159905937683,1.0,0.9938650306748467,0.0,3
gte,amazon_google,hef_gbdt,0.9187830687830687,1.0,0.9938650306748467,0.007568562249208103,3
gte,amazon_google,hef_rank,0.9224279835390947,1.0,0.9938650306748467,0.0,3
gte,walmart_amazon,embedding,0.9150127226463104,1.0,1.0,,1
gte,walmart_amazon,hef_linear,0.9510178117048346,1.0,1.0,0.0,3
gte,walmart_amazon,hef_gbdt,0.943002544529262,1.0,1.0,0.007852699963354592,3
gte,walmart_amazon,hef_rank,0.9474554707379135,1.0,1.0,0.0,3
gte,wdc_80_medium_seen,embedding,0.5333424733933323,1.0,0.992,,1
gte,wdc_80_medium_seen,hef_linear,0.6335591151419788,1.0,0.992,0.0,3
gte,wdc_80_medium_seen,hef_gbdt,0.6354215516303906,1.0,0.992,0.0030059178797337766,3
gte,wdc_80_medium_seen,hef_rank,0.6484529034031958,1.0,0.992,0.0,3
gte,wdc_80_medium_unseen,embedding,0.6342629373445894,1.0,0.998,,1
gte,wdc_80_medium_unseen,hef_linear,0.7361316491739102,1.0,0.998,0.0,3
gte,wdc_80_medium_unseen,hef_gbdt,0.7350642305578493,1.0,0.998,0.0031350333980543887,3
gte,wdc_80_medium_unseen,hef_rank,0.7347490255968978,1.0,0.998,0.0,3
gte,link_lives_release2,embedding,0.7228716793910138,1.0,0.9750769230769231,,1
gte,link_lives_release2,hef_linear,0.8054794964126797,1.0,0.9750769230769231,0.0,3
gte,link_lives_release2,hef_gbdt,0.8935345063785727,1.0,0.9750769230769231,0.0006057380606887607,3
gte,link_lives_release2,hef_rank,0.8982784703654717,1.0,0.9750769230769231,0.0007681860022871383,3
roberta,abt_buy,embedding,0.7849910487611023,1.0,1.0,,1
roberta,abt_buy,hef_linear,0.88618672993673,1.0,1.0,0.0,3
roberta,abt_buy,hef_gbdt,0.9230055658627087,1.0,1.0,0.003849948978582985,3
roberta,abt_buy,hef_rank,0.927086802086802,1.0,1.0,0.0,3
roberta,amazon_google,embedding,0.8106694611759998,1.0,1.0,,1
roberta,amazon_google,hef_linear,0.9238241308793455,1.0,1.0,0.0,3
roberta,amazon_google,hef_gbdt,0.9066973415132924,1.0,1.0,0.011417847072832018,3
roberta,amazon_google,hef_rank,0.92337131171487,1.0,1.0,0.0,3
roberta,walmart_amazon,embedding,0.8218139155162055,1.0,1.0,,1
roberta,walmart_amazon,hef_linear,0.9500000000000001,1.0,1.0,0.0,3
roberta,walmart_amazon,hef_gbdt,0.9436795710650673,1.0,1.0,0.0023550108173192377,3
roberta,walmart_amazon,hef_rank,0.9407336726039015,1.0,1.0,0.0,3
roberta,wdc_80_medium_seen,embedding,0.4607449715809655,1.0,0.988,,1
roberta,wdc_80_medium_seen,hef_linear,0.6056363741048651,1.0,0.988,0.0,3
roberta,wdc_80_medium_seen,hef_gbdt,0.6145309218210347,1.0,0.988,0.005344748765932621,3
roberta,wdc_80_medium_seen,hef_rank,0.6113385954062149,1.0,0.988,0.0,3
roberta,wdc_80_medium_unseen,embedding,0.5757094274503569,1.0,0.998,,1
roberta,wdc_80_medium_unseen,hef_linear,0.7090768499419134,1.0,0.998,0.0,3
roberta,wdc_80_medium_unseen,hef_gbdt,0.716707051576791,1.0,0.998,0.00322519442893441,3
roberta,wdc_80_medium_unseen,hef_rank,0.7169125491520281,1.0,0.998,0.0,3
roberta,link_lives_release2,embedding,0.46457828073342067,1.0,0.6667692307692308,,1
roberta,link_lives_release2,hef_linear,0.46457828073342067,1.0,0.6667692307692308,0.0,3
roberta,link_lives_release2,hef_gbdt,0.4542510892607482,1.0,0.6667692307692308,0.0004624205603283105,3
roberta,link_lives_release2,hef_rank,0.46369656011307825,1.0,0.6667692307692308,0.00020197648863609353,3
bert,abt_buy,embedding,0.4102371221673292,1.0,0.8246753246753247,,1
bert,abt_buy,hef_linear,0.9070606558795535,1.0,0.8246753246753247,0.0,3
bert,abt_buy,hef_gbdt,0.9346644169478815,1.0,0.8246753246753247,0.00984194154905056,3
bert,abt_buy,hef_rank,0.9200224971878516,1.0,0.8246753246753247,0.0,3
bert,amazon_google,embedding,0.7196484271556152,1.0,0.9263803680981595,,1
bert,amazon_google,hef_linear,0.9217467962501075,1.0,0.9263803680981595,0.0,3
bert,amazon_google,hef_gbdt,0.9205298013245033,1.0,0.9263803680981595,0.00571334089667831,3
bert,amazon_google,hef_rank,0.914301482182277,1.0,0.9263803680981595,0.0,3
bert,walmart_amazon,embedding,0.7313425255774197,1.0,0.8549618320610687,,1
bert,walmart_amazon,hef_linear,0.9616071428571428,1.0,0.8549618320610687,0.0,3
bert,walmart_amazon,hef_gbdt,0.9563988095238096,1.0,0.8549618320610687,0.001968564963589697,3
bert,walmart_amazon,hef_rank,0.9635416666666666,1.0,0.8549618320610687,0.0,3
bert,wdc_80_medium_seen,embedding,0.3338148196185009,1.0,0.666,,1
bert,wdc_80_medium_seen,hef_linear,0.6431431527019762,1.0,0.666,0.0,3
bert,wdc_80_medium_seen,hef_gbdt,0.6450197545785781,1.0,0.666,0.0013161763262883141,3
bert,wdc_80_medium_seen,hef_rank,0.6571566415474746,1.0,0.666,0.0,3
bert,wdc_80_medium_unseen,embedding,0.3835028583296913,1.0,0.706,,1
bert,wdc_80_medium_unseen,hef_linear,0.7260750797499202,1.0,0.706,0.0,3
bert,wdc_80_medium_unseen,hef_gbdt,0.7369211795517915,1.0,0.706,0.004419833498666884,3
bert,wdc_80_medium_unseen,hef_rank,0.7365368745980452,1.0,0.706,0.0,3
bert,link_lives_release2,embedding,0.14565797106825853,1.0,0.7083076923076923,,1
bert,link_lives_release2,hef_linear,0.8212591754856792,1.0,0.7083076923076923,0.0,3
bert,link_lives_release2,hef_gbdt,0.9344386565035657,1.0,0.7083076923076923,0.001549333190277168,3
bert,link_lives_release2,hef_rank,0.9345361553930189,1.0,0.7083076923076923,0.0021164863663329725,3
jina,abt_buy,embedding,0.8501823573252144,1.0,1.0,,1
jina,abt_buy,hef_linear,0.9069109461966605,1.0,1.0,0.0,3
jina,abt_buy,hef_gbdt,0.9341063698206554,1.0,1.0,0.005889887225014032,3
jina,abt_buy,hef_rank,0.930534941249227,1.0,1.0,0.0,3
jina,amazon_google,embedding,0.7542341109428337,1.0,0.9877300613496932,,1
jina,amazon_google,hef_linear,0.9101449275362317,1.0,0.9877300613496932,0.0,3
jina,amazon_google,hef_gbdt,0.8848935226264418,1.0,0.9877300613496932,0.0109324036871616,3
jina,amazon_google,hef_rank,0.9002587991718426,1.0,0.9877300613496932,0.0,3
jina,walmart_amazon,embedding,0.7482784136618941,1.0,0.9236641221374046,,1
jina,walmart_amazon,hef_linear,0.937603305785124,1.0,0.9236641221374046,0.0,3
jina,walmart_amazon,hef_gbdt,0.9426538108356289,1.0,0.9236641221374046,0.0027342102160936425,3
jina,walmart_amazon,hef_rank,0.9170454545454545,1.0,0.9236641221374046,0.0,3
jina,wdc_80_medium_seen,embedding,0.45911941339459,1.0,0.828,,1
jina,wdc_80_medium_seen,hef_linear,0.5934135617700086,1.0,0.828,0.0,3
jina,wdc_80_medium_seen,hef_gbdt,0.6031547814713308,1.0,0.828,0.007049802709813614,3
jina,wdc_80_medium_seen,hef_rank,0.5858247828212146,1.0,0.828,0.0,3
jina,wdc_80_medium_unseen,embedding,0.5747704555620761,1.0,0.838,,1
jina,wdc_80_medium_unseen,hef_linear,0.7280097423306342,1.0,0.838,0.0,3
jina,wdc_80_medium_unseen,hef_gbdt,0.7475362070049213,1.0,0.838,0.0009728808385924416,3
jina,wdc_80_medium_unseen,hef_rank,0.7334006619209482,1.0,0.838,0.0,3
jina,link_lives_release2,embedding,0.5479886556350893,1.0,0.9144615384615384,,1
jina,link_lives_release2,hef_linear,0.7406117850979828,1.0,0.9144615384615384,0.0,3
jina,link_lives_release2,hef_gbdt,0.9077573283789636,1.0,0.9144615384615384,0.0018824112414054215,3
jina,link_lives_release2,hef_rank,0.9082648568015208,1.0,0.9144615384615384,0.0008107127262035765,3
