config_id,model,family,dataset,runs,f1_mean,f1_std,status
13,HEF-linear + BGE,hef_linear,link_lives_release2,3,0.8266244968372628,0,complete
14,HEF-linear + GTE,hef_linear,abt_buy,3,0.6770601336302895,0,complete
14,HEF-linear + GTE,hef_linear,amazon_google,3,0.5764499121265377,0,complete
14,HEF-linear + GTE,hef_linear,walmart_amazon,3,0.740506329113924,0,complete
14,HEF-linear + GTE,hef_linear,wdc_80_medium_seen,3,0.4592487597448618,0,complete
14,HEF-linear + GTE,hef_linear,wdc_80_medium_unseen,3,0.5185185185185185,0,complete
14,HEF-linear + GTE,hef_linear,link_lives_release2,3,0.8305134189031506,0,complete
15,HEF-linear + RoBERTa embedding,hef_linear,abt_buy,3,0.6363636363636364,0,complete
15,HEF-linear + RoBERTa embedding,hef_linear,amazon_google,3,0.5740740740740741,0,complete
15,HEF-linear + RoBERTa embedding,hef_linear,walmart_amazon,3,0.746177370030581,0,complete
15,HEF-linear + RoBERTa embedding,hef_linear,wdc_80_medium_seen,3,0.43783783783783786,0,complete
15,HEF-linear + RoBERTa embedding,hef_linear,wdc_80_medium_unseen,3,0.5101744186046512,0,complete
15,HEF-linear + RoBERTa embedding,hef_linear,link_lives_release2,3,0.8063273727647869,0,complete
16,HEF-linear + BERT embedding,hef_linear,abt_buy,3,0.6550976138828634,0,complete
16,HEF-linear + BERT embedding,hef_linear,amazon_google,3,0.5505376344086022,0,complete
16,HEF-linear + BERT embedding,hef_linear,walmart_amazon,3,0.7130434782608696,0,complete
16,HEF-linear + BERT embedding,hef_linear,wdc_80_medium_seen,3,0.40452830188679245,0,complete
16,HEF-linear + BERT embedding,hef_linear,wdc_80_medium_unseen,3,0.4750378214826021,0,complete
16,HEF-linear + BERT embedding,hef_linear,link_lives_release2,3,0.818805372963704,0,complete
17,HEF-linear + Jina embedding,hef_linear,abt_buy,3,0.6952595936794582,0,complete
17,HEF-linear + Jina embedding,hef_linear,amazon_google,3,0.5446623093681917,0,complete
17,HEF-linear + Jina embedding,hef_linear,walmart_amazon,3,0.7188405797101449,0,complete
