model_family,dataset,fraction_percent,seed,f1,precision,recall,roc_auc,average_precision,brier,ece,source_metrics
hef_gbdt_e5_finetuned_jina_oof,abt_buy,10,20260726,0.8410757946210269,0.8472906403940886,0.8349514563106796,0.9475898484074263,0.8079959190829541,0.030608173754479242,0.02262425332655423,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_010/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,10,20260727,0.8291457286432161,0.859375,0.8009708737864077,0.9330608073582014,0.7848894604285626,0.03204966276272998,0.023410136852776414,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_010/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,15,20260725,0.8277511961722488,0.8160377358490566,0.8398058252427184,0.9571112246636008,0.8240899372223165,0.03331782595796489,0.022357777161896887,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_015/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,15,20260726,0.8232558139534883,0.7901785714285714,0.8592233009708737,0.9657014705047409,0.8485129552230559,0.03272758774247432,0.023191931573636814,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_015/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,15,20260727,0.8341013824884793,0.793859649122807,0.8786407766990292,0.9515585079202861,0.811435969306446,0.03247923636638718,0.02130004558421957,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_015/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,20,20260725,0.8530120481927711,0.84688995215311,0.8592233009708737,0.9646809175041163,0.8873978599181509,0.029127127539060778,0.02428654091749139,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_020/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,20,20260726,0.8530805687203792,0.8333333333333334,0.8737864077669902,0.9665857605177994,0.872651098686109,0.029718540470497993,0.02633654147355521,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_020/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,20,20260727,0.8410757946210269,0.8472906403940886,0.8349514563106796,0.9481675466984614,0.8478778733946724,0.029954494104675995,0.022455145024956023,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_020/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,25,20260725,0.8735083532219571,0.8591549295774648,0.8883495145631068,0.9719411798103674,0.902725869766359,0.023345262434980106,0.014060483958884278,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_025/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,25,20260726,0.8476190476190476,0.8317757009345794,0.8640776699029126,0.9701016294782263,0.8806660878648205,0.02856336095108762,0.020860031852787682,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_025/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,25,20260727,0.8676470588235294,0.8762376237623762,0.8592233009708737,0.9586626355532846,0.8791269425484398,0.023736932767105774,0.016817698251188257,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_025/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,30,20260725,0.8684863523573201,0.8883248730964467,0.8495145631067961,0.9696999375461307,0.8969069881714705,0.026774467467375,0.022203375930031407,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_030/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,30,20260726,0.8743718592964824,0.90625,0.8446601941747572,0.9674217907227616,0.8893856366187912,0.022899778607726497,0.01813950548913283,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_030/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,30,20260727,0.8762376237623762,0.8939393939393939,0.8592233009708737,0.9739822858116165,0.90135041557664,0.02441986102757652,0.018662329467661585,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_030/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,35,20260725,0.8883610451306413,0.8697674418604651,0.9077669902912622,0.9705884857775507,0.8921787334753473,0.022558050816867313,0.012635758693866662,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_035/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,35,20260726,0.8787878787878788,0.9157894736842105,0.8446601941747572,0.9384474535854198,0.8579543475995423,0.022344249473644044,0.014770711022777843,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_035/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,35,20260727,0.8740740740740741,0.8894472361809045,0.8592233009708737,0.9657497303128372,0.8705268073134986,0.02514968209187458,0.017605808985341125,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_035/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,40,20260725,0.8805970149253731,0.9030612244897959,0.8592233009708737,0.9728268892295462,0.9051630204327479,0.021593657313032526,0.015867658491884682,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_040/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,40,20260726,0.8671679197994987,0.8963730569948186,0.8398058252427184,0.9554434224720376,0.8736378505023235,0.023018349527573388,0.01138259968025518,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_040/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,40,20260727,0.8591885441527446,0.8450704225352113,0.8737864077669902,0.9798401748708341,0.8947726261560043,0.025524320348988928,0.015725351121882208,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_040/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,45,20260725,0.8771084337349397,0.8708133971291866,0.883495145631068,0.9646582070061887,0.8946123365507285,0.02142579844786394,0.018925527477829874,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_045/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,45,20260726,0.8811881188118812,0.898989898989899,0.8640776699029126,0.9661457446204508,0.8893965525720988,0.020620469536439014,0.019913400737602747,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_045/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,45,20260727,0.896551724137931,0.91,0.883495145631068,0.9669888718560156,0.8994188692364387,0.01994681545457314,0.01595556116292075,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_045/seed_20260727/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,50,20260725,0.8743961352657005,0.8701923076923077,0.8786407766990292,0.957644921364901,0.8851442981253521,0.023543211021090204,0.021531721820908897,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_050/seed_20260725/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,50,20260726,0.8817733990147784,0.895,0.8689320388349514,0.9632061545449384,0.9020063628897343,0.021499819429018706,0.018554542902899953,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_050/seed_20260726/metrics.json
hef_gbdt_e5_finetuned_jina_oof,abt_buy,50,20260727,0.9037037037037037,0.9195979899497487,0.8883495145631068,0.9716246522455004,0.9143737752094299,0.020271074158237288,0.017693879130402646,/tmp/exp05_metrics.8W4Ahd/hef_gbdt_e5_finetuned_jina_oof/abt_buy/fraction_050/seed_20260727/metrics.json
