model_family,fraction_percent,dataset_count,run_count,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_macro_mean,roc_auc_macro_std,average_precision_macro_mean,average_precision_macro_std,brier_macro_mean,brier_macro_std,ece_macro_mean,ece_macro_std
hef_gbdt_e5_finetuned_jina_oof,1,6,18,0.6447849534865924,0.11284778429854936,0.5490412931219862,0.13091051415299412,0.7981488805468717,0.10508663394434495,0.90159372842379,0.047570535822575755,0.549959154818325,0.17093207089817922,0.06776825312064065,0.01625181859471186,0.059676669445177834,0.037906994553684875
hef_gbdt_e5_finetuned_jina_oof,2,6,18,0.6976524387016301,0.09502063576280624,0.6135869705374735,0.10182769141206574,0.8152673481304532,0.10638622465287302,0.9252218546049744,0.03903978450543442,0.624120326268445,0.152096011005035,0.056039313735900265,0.01032523488685442,0.040293689492228106,0.022976290087049857
hef_gbdt_e5_finetuned_jina_oof,3,6,18,0.7109742012229864,0.10140066363159701,0.6639407191900957,0.09796709163064601,0.7733847018048939,0.13027761429080023,0.9283793166502153,0.0402588371946134,0.6719206305835179,0.1626157743457307,0.05216242948003504,0.014649710148926973,0.027298713524090242,0.011051430348833194
hef_gbdt_e5_finetuned_jina_oof,4,6,18,0.7271569634369924,0.09929556124500788,0.6801874417044207,0.09705820366964171,0.7859341743569488,0.11510645078523093,0.9403713364705459,0.03350253484939513,0.7121452531052505,0.13388041411906257,0.04813862876227949,0.013298450998722032,0.025845257054373745,0.007980868183259342
hef_gbdt_e5_finetuned_jina_oof,5,6,18,0.7428361128286272,0.0995231333105156,0.6877298837491095,0.11280466288063305,0.8111909140518561,0.08555138702802516,0.9390093321088692,0.028062123549443027,0.7446801930121107,0.13762538867718088,0.04595694497187394,0.013116927723222378,0.023979788737590123,0.00943744755266143
hef_gbdt_e5_finetuned_jina_oof,10,6,18,0.7708746249235596,0.1038353104538882,0.7512596486107527,0.12830483974938758,0.7981144214042918,0.09117236884828474,0.9380471980194183,0.03091425960337928,0.7552416780551644,0.14214718966775544,0.04134095698670555,0.01571894981209273,0.023208905637737927,0.008180383554079207
hef_gbdt_e5_finetuned_jina_oof,15,6,18,0.7702370229239892,0.10077607315782218,0.7396147172306184,0.11855695250289244,0.808021247158796,0.08990816853314457,0.9469604402507322,0.028350502490025457,0.7578118768718599,0.15002474563052437,0.042025726925599444,0.016532155379381668,0.02347208513079523,0.009321003023528104
hef_gbdt_e5_finetuned_jina_oof,20,6,18,0.7860978234518001,0.09758784289190421,0.7559399256668489,0.1226983428490482,0.8226590079859695,0.0728874987929013,0.948265972923388,0.024765377592171397,0.7866233451945233,0.1347783427753204,0.03919359911974922,0.014310905536053076,0.022970702756538074,0.006574440769816081
hef_gbdt_e5_finetuned_jina_oof,25,6,18,0.7896492337846162,0.09461598121601518,0.7629537256426314,0.12090444905617286,0.8227673501607804,0.07158863380940544,0.9543340442804451,0.02122598866410694,0.7970658615069549,0.1280863957768355,0.03807325941965906,0.015279044554730429,0.021296387548578346,0.007706292442630717
hef_gbdt_e5_finetuned_jina_oof,30,6,18,0.796680106655142,0.0932699266722799,0.7677081709390255,0.12342858329470555,0.8332346652136212,0.0674379711754652,0.9530741940017282,0.02386980385219699,0.7972517188118693,0.1282326649064911,0.0367257422083295,0.013861623183028218,0.01808398806428021,0.004160112328383348
hef_gbdt_e5_finetuned_jina_oof,35,6,18,0.7989561959849356,0.09349041199169829,0.7767398224495996,0.12110873623311798,0.8275654842853394,0.07449408564668976,0.9538454466384721,0.0220283329417971,0.7993242203883253,0.12371406934756232,0.036610231732179956,0.014600252586003325,0.019619102487843564,0.0056231482025436525
hef_gbdt_e5_finetuned_jina_oof,40,6,18,0.8059132086714655,0.08328096150328677,0.7833765844520556,0.11547221725280053,0.8379077188118219,0.07370170870040553,0.9565302482299501,0.02555874965708835,0.8174216362181693,0.11542470097734912,0.036276434747794115,0.014923959394334708,0.024276972358942408,0.012831726654451288
hef_gbdt_e5_finetuned_jina_oof,45,6,18,0.8076043231625826,0.08834461102277316,0.7805680341589613,0.11440009401908313,0.8407233456619576,0.06848963090650244,0.9580276773655881,0.021612886197859803,0.8247003124493618,0.10850821128033833,0.035575709265367135,0.014470924437321252,0.024567109512244716,0.008419009457742516
hef_gbdt_e5_finetuned_jina_oof,50,6,18,0.8122230416109958,0.08589899911925238,0.7864028316183449,0.11998844492679282,0.8460832709306307,0.06019983968787772,0.9540744562437784,0.027254055357505542,0.8215068740301595,0.11214077039038184,0.034397022513833225,0.01330123738350588,0.023278634987402545,0.006941197760663717
hef_gbdt_e5_finetuned_jina_oof,55,6,18,0.8094258249802235,0.07970066521794274,0.7961188922217141,0.08885796132925622,0.8256972566744856,0.0807965428719169,0.9534826395798502,0.022315367466022723,0.811062704019357,0.11174990403976559,0.03623255069301657,0.014045853025657735,0.02565521666509713,0.011519030638884363
hef_gbdt_e5_finetuned_jina_oof,60,6,18,0.8141453688796974,0.08566863240528065,0.7980654790326938,0.08855977152560547,0.8336151637157891,0.09182248811154925,0.9559043047558675,0.025038695933451052,0.8192509708334355,0.11497959552863293,0.03561057640405027,0.01498042443537874,0.024109504679211503,0.011787255283549479
hef_gbdt_e5_finetuned_jina_oof,65,6,18,0.8230651141680653,0.07466032888919906,0.8095500189230983,0.08758089128712217,0.839312718872254,0.07329810486666664,0.9567988593925729,0.02399815369004813,0.8254274057222482,0.10837517255015372,0.03409087277825749,0.013591493129492236,0.023998703167050814,0.011917321764985386
hef_gbdt_e5_finetuned_jina_oof,70,6,18,0.8233500852794359,0.07732620357186094,0.8117992088390314,0.08998477320629841,0.8375282800448889,0.07570050189466726,0.956105189106081,0.02291551884385903,0.8207489419671882,0.11292327617533292,0.035291708199727184,0.014836901220933134,0.027597230941980414,0.014203173842850216
hef_gbdt_e5_finetuned_jina_oof,75,6,18,0.8271920713218128,0.07645008871911807,0.8078780185965009,0.09220950044823693,0.849552415379905,0.06747142953177658,0.9623252220590681,0.019480291301613196,0.8302736548466704,0.10996738786448616,0.03430279406537362,0.014586859360995701,0.025389597593831498,0.012445522714988394
hef_gbdt_e5_finetuned_jina_oof,80,6,18,0.8278248156385903,0.07209791512888845,0.8054405352415663,0.09237154999859273,0.8547295183820327,0.06323301889744157,0.9620637778320674,0.02021835458574137,0.8285192008365829,0.11113398418935899,0.033623454468456826,0.014165923865142215,0.02441545719276544,0.012383336646483244
hef_gbdt_e5_finetuned_jina_oof,85,6,18,0.8236184085980374,0.07707648135735827,0.8077696899248115,0.10135298139277417,0.843313967404029,0.062457615491864946,0.9618780008436385,0.018581519523927455,0.8316537177614185,0.10863950999638007,0.03415550322026648,0.014828265067878394,0.025497415043747192,0.011961166115305986
hef_gbdt_e5_finetuned_jina_oof,90,6,18,0.827143638230457,0.0757626355523755,0.7972374101604721,0.08740251151720005,0.860857802669111,0.06780192112187543,0.9646512005334373,0.02171800641578248,0.8301824143247114,0.11791922228502259,0.0340583972276271,0.014665210185032234,0.024797366442276186,0.013014794519919614
hef_gbdt_e5_finetuned_jina_oof,95,6,18,0.826652345003035,0.07501899058227668,0.8051502431678317,0.09649892532711944,0.8527069638358603,0.06479984636008207,0.9629976310408903,0.019760263477836524,0.832150468882413,0.10885419795538773,0.03385134429556193,0.014561048821094153,0.025666523922682018,0.013965186380019465
hef_gbdt_e5_finetuned_jina_oof,100,6,18,0.8284321518757235,0.07411622680083002,0.802905876081327,0.09535114028999328,0.8583504954261029,0.058278453504716714,0.9664333922939704,0.019866875204605994,0.842880143304242,0.10017436522471967,0.03345205955308528,0.013886946798705287,0.024747755117463917,0.011391644365477268
hef_gbdt_e5_finetuned_roberta_oof,1,6,18,0.4531506921293689,0.1963582965196528,0.3539368489262922,0.22656083501320887,0.7358703618429963,0.11200518156746267,0.7945488260757092,0.10794572423647884,0.3719251805861783,0.25816650466575686,0.08582631837329778,0.02530190190261381,0.06273949424235027,0.03315700873864797
hef_gbdt_e5_finetuned_roberta_oof,2,6,18,0.4985725050221205,0.18862284205343124,0.4092150475110972,0.212671845184436,0.707305267571562,0.14126838557760762,0.8518622118159788,0.07205474975563793,0.45024053999660735,0.23895284271341827,0.07935276511808383,0.025798257744346378,0.05546542110753544,0.02889786786657525
