model_family,dataset,fraction_percent,seed_count,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,ece_mean,ece_std
hef_gbdt_e5_finetuned_jina_oof,abt_buy,1,3,0.63292097152932,0.06830018133788729,0.4932413583273459,0.07741275875480805,0.8964401294498382,0.07415171027436637,0.9243693105471338,0.008752215171449328,0.5005480211007611,0.022850557773299456,0.06901165942237039,0.0018846307410358906,0.0670382556765893,0.027964964738438465
hef_gbdt_e5_finetuned_jina_oof,abt_buy,2,3,0.7020652984642881,0.017871731570866387,0.5657976366052757,0.03546844471302138,0.9288025889967638,0.03675668832233185,0.9334501977705861,0.014043669024289919,0.5570447144879265,0.07450287453651723,0.05345784697837758,0.004342319111815004,0.024769292543896232,0.008927008421076774
hef_gbdt_e5_finetuned_jina_oof,abt_buy,3,3,0.7389976711049122,0.00897881646245616,0.6396683180282308,0.009448634594817156,0.8754045307443366,0.027603110209113286,0.9341504381233559,0.0055329554507343925,0.6208559362714613,0.04324556312968019,0.04962694458038889,0.0013777829407385783,0.026800898631531154,0.005870574974867783
hef_gbdt_e5_finetuned_jina_oof,abt_buy,4,3,0.785749685748003,0.024866748102410154,0.7109383000512033,0.04726964411493308,0.8802588996763754,0.01221656057487181,0.9496087170461213,0.006215947180789236,0.6807203412724874,0.03319579517188422,0.04051081835858638,0.0025416595380604464,0.022987324541064086,0.00446647567438629
hef_gbdt_e5_finetuned_jina_oof,abt_buy,5,3,0.8087880158232422,0.014510237795486249,0.7733372893743421,0.024632121488735323,0.8478964401294498,0.0028026712096583762,0.9391093699729367,0.011285933736560163,0.8024549362373948,0.002427802781453932,0.03616144007472319,0.002155986209146091,0.02467005566769208,0.00949976353365274
hef_gbdt_e5_finetuned_jina_oof,abt_buy,10,3,0.8370255433842013,0.006825011797280903,0.8433071514491923,0.018386137122740433,0.8317152103559871,0.029260746472532552,0.9447004106815042,0.010497490506721342,0.8082968882664067,0.0235593542966769,0.030701049614518597,0.0013046569445283943,0.021901160962152194,0.001972561722866692
hef_gbdt_e5_finetuned_jina_oof,abt_buy,15,3,0.8283694642047388,0.005449154129935751,0.800025318800145,0.013988770784416888,0.8592233009708737,0.019417475728155387,0.9581237343628759,0.007125638889578026,0.8280129539172728,0.01884723497377803,0.03284155002227546,0.0004307536148295491,0.022283251439917755,0.0009481422423168901
hef_gbdt_e5_finetuned_jina_oof,abt_buy,20,3,0.8490561371780591,0.0069112643026699545,0.8425046419601774,0.00794511259915375,0.8559870550161812,0.019618698467608633,0.9598114082401257,0.010128758089113477,0.8693089439996441,0.019970849560426218,0.029600054038078256,0.00042621958480945914,0.02435940913866754,0.0019417239585076528
hef_gbdt_e5_finetuned_jina_oof,abt_buy,25,3,0.862924819888178,0.01357529710806071,0.8557227514248068,0.022428787986423317,0.8705501618122977,0.01560461288186568,0.9669018149472928,0.007194375870852671,0.8875063000598731,0.013202981428986876,0.025215185384391166,0.002906210785771431,0.01724607135428674,0.0034199547551049883
hef_gbdt_e5_finetuned_jina_oof,abt_buy,30,3,0.8730319451387263,0.00404562474301892,0.8961714223452802,0.009168642578410123,0.8511326860841424,0.007415171027436631,0.9703680046935029,0.0033308796492474676,0.8958810134556339,0.0060480122326014765,0.02469803570089267,0.001952265171903388,0.01966840362894194,0.0022108594830063883
hef_gbdt_e5_finetuned_jina_oof,abt_buy,35,3,0.8804076659975314,0.00727991541477047,0.8916680505751934,0.023091250848034837,0.8705501618122977,0.03304300624055367,0.958261889891936,0.01732952114804565,0.8735532961294628,0.017311755343086013,0.023350660794128647,0.0015616612871870194,0.015004092900661877,0.0024932308959741086
hef_gbdt_e5_finetuned_jina_oof,abt_buy,40,3,0.8689844929592054,0.01081922403590238,0.8815015680066086,0.03172702580417526,0.8576051779935274,0.017047983418855557,0.969370162190806,0.012560338501302963,0.8911911656970252,0.016064844507493903,0.023378775729864947,0.0019899643868753624,0.014325203098007357,0.002549362469817571
hef_gbdt_e5_finetuned_jina_oof,abt_buy,45,3,0.884949425561584,0.010252851153351606,0.8932677653730285,0.020210259052909248,0.8770226537216829,0.011210684838633569,0.965930941160885,0.0011800868846130557,0.8944759194530887,0.005012550752707881,0.02066436114629203,0.0007404677769305502,0.018264829792784456,0.002059979271254452
hef_gbdt_e5_finetuned_jina_oof,abt_buy,50,3,0.8866244126613941,0.015244101875374616,0.8949300992140188,0.024702915302059314,0.8786407766990292,0.009708737864077721,0.9641585760517799,0.007038362658922684,0.9005081454081721,0.01467222118047232,0.021771368202782065,0.0016528835302916896,0.019260047951403833,0.002013842635204253
hef_gbdt_e5_finetuned_jina_oof,abt_buy,55,3,0.860818011006757,0.006953361331750856,0.8710427815423808,0.008950413861007056,0.8511326860841424,0.02021034950937992,0.9614413596018093,0.00760877431428371,0.8796901801983503,0.015495809771175682,0.02501029232240613,0.00203692269288397,0.02012750417738862,0.0025230570768002376
hef_gbdt_e5_finetuned_jina_oof,abt_buy,60,3,0.8974613579349772,0.012847200312390195,0.8910641923257566,0.03168974047030498,0.9045307443365697,0.007415171027436631,0.9730473703135942,0.006614669846346165,0.9091044000609767,0.012728617061324096,0.01976553247023976,0.0015869882611561786,0.01390408819861127,0.001594364666737131
hef_gbdt_e5_finetuned_jina_oof,abt_buy,65,3,0.8838488288172897,0.010195971512764421,0.9070981189545846,0.021523373617058722,0.8624595469255664,0.026735779355757827,0.9681688714775071,0.013546559877547467,0.8957145666542349,0.028266325866747835,0.022087287150101085,0.002839866714825744,0.01712448475038581,0.0027090174173585585
